epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1218.88,1.66507,1.8399,1.56938,0.74869,0.20171,0.1913,0.11588,1.70763,1.6535,1.57277,0.00999523,0.00333174,0.00999523,0.00333174,0.00999523,0.00333174,0.00999523,0.00333174
2,5204.38,1.68898,1.53562,1.54691,0.7478,0.20753,0.1905,0.1075,1.7581,1.43519,1.63007,0.0199757,0.00665857,0.0199757,0.00665857,0.0199757,0.00665857,0.0199757,0.00665857
